"","site_code","interval","n_hives","per_corn","daily_mortality_plt","daily_mort_may","seam_chg","bee_chg","cap_chg","open_chg","pollen_chg","nectar_chg","mean_thi_may","mean_clo_may","mean_total_may","mean_thi_planting","mean_clo_planting","mean_total_planting"
"1","BG","2",2,22,1.051359775,0.119948108,-11,-2765.38,-301.18,1232.1,1779.7,-23820.6,39.8,24,55.5,58.3333333333333,26.3333333333333,39.6666666666667
"2","BG","3",2,22,1.051359775,0.119948108,8.5,9610.38,1177.34,1533.28,2190.4,8597.32,39.8,24,55.5,58.3333333333333,26.3333333333333,39.6666666666667
"3","BG","1",2,22,1.051359775,0.119948108,-3.5,-3176.08,-4298.66,-5804.56,-2217.78,22999.2,39.8,24,55.5,58.3333333333333,26.3333333333333,39.6666666666667
"4","DS","3",3,1,0.991587489,0.161895245,1.333333333,1496.773333,3595.906667,2226.906667,-1551.533333,-13763.01333,26.8,26.8,36.6,39.3333333333333,37.6666666666667,17.6666666666667
"5","DS","1",1,1,0.991587489,0.161895245,9,7940.2,1916.6,328.56,-684.5,9363.96,26.8,26.8,36.6,39.3333333333333,37.6666666666667,17.6666666666667
"6","DS","2",1,1,0.991587489,0.161895245,-4,1423.76,-1752.32,-1752.32,1314.24,9747.28,26.8,26.8,36.6,39.3333333333333,37.6666666666667,17.6666666666667
"7","FSR","1",4,49,1.676940638,0.173394478,2,1451.14,3189.77,1437.45,657.12,3326.67,30.6,27.3,63.7,40,46,62
"8","FSR","2",4,49,1.676940638,0.173394478,8.5,15346.49,2313.61,930.92,1040.44,9925.25,30.6,27.3,63.7,40,46,62
"9","FSR","3",4,49,1.676940638,0.173394478,0,-5503.38,-2601.1,-1519.59,4408.18,12553.73,30.6,27.3,63.7,40,46,62
"10","HR","1",6,30,0.959180946,0.005853495,2.5,-164.28,1478.52,839.6533333,136.9,5238.706667,27.3,27.9,50.1,31,26.6666666666667,45
"11","HR","2",3,30,0.959180946,0.005853495,5,6461.68,292.0533333,-1788.826667,1788.826667,1314.24,27.3,27.9,50.1,31,26.6666666666667,45
"12","HR","3",3,30,0.959180946,0.005853495,2.666666667,2117.386667,18.25333333,1953.106667,3285.6,4545.08,27.3,27.9,50.1,31,26.6666666666667,45
"13","IB","2",2,22,0.567821225,0.055341812,-1,1588.04,4490.32,903.54,2026.12,-3395.12,38.1,29.7,40.3,49,39.3333333333333,24
"14","IB","3",2,22,0.567821225,0.055341812,9,13388.82,-2217.78,1505.9,2163.02,11280.56,38.1,29.7,40.3,49,39.3333333333333,24
"15","IB","1",2,22,0.567821225,0.055341812,5,-1505.9,-2190.4,-2327.3,54.76,13772.14,38.1,29.7,40.3,49,39.3333333333333,24
"16","SC","1",6,8,0.557895802,0.085869496,1.333333333,647.9933333,483.7133333,63.88666667,967.4266667,4727.613333,31,27.1,58.5,35.3333333333333,35.3333333333333,67
"17","SC","2",6,8,0.557895802,0.085869496,3.5,967.4266667,374.1933333,-100.3933333,949.1733333,-2153.893333,31,27.1,58.5,35.3333333333333,35.3333333333333,67
"18","SC","3",6,8,0.557895802,0.085869496,-2.833333333,3504.64,-766.64,-921.7933333,474.5866667,8825.486667,31,27.1,58.5,35.3333333333333,35.3333333333333,67
"19","TV","1",2,31,0.951703623,0.112411043,-5,-6968.21,-547.6,1588.04,1095.2,6420.61,35.2,23,52.4,35,38.6666666666667,41.6666666666667
"20","TV","2",2,31,0.951703623,0.112411043,1.5,82.14,1067.82,520.22,-301.18,-5777.18,35.2,23,52.4,35,38.6666666666667,41.6666666666667
"21","TV","3",2,31,0.951703623,0.112411043,11,12430.52,1533.28,848.78,3176.08,16044.68,35.2,23,52.4,35,38.6666666666667,41.6666666666667
"22","WB","1",4,30,0.328982,0.090912312,3.75,725.57,2464.2,1040.44,301.18,5859.32,52.8,36.6,55,46.3333333333333,45,45
"23","WB","2",4,30,0.328982,0.090912312,2.75,15223.28,574.98,-1232.1,889.85,6762.86,52.8,36.6,55,46.3333333333333,45,45
"24","WB","3",4,30,0.328982,0.090912312,-1,-6927.14,-1191.03,-739.26,2354.68,6050.98,52.8,36.6,55,46.3333333333333,45,45
